pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numcases_total,numcases_weekly,ratecases_total,numdeaths_total,numdeaths_weekly,ratedeaths_total,ratecases_last7,ratedeaths_last7,numcases_last14,numdeaths_last14,ratecases_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
12,Nova Scotia,Nouvelle-Écosse,2020-04-04,14,2020,0,236,126,23.79,0,0,0,12.70,0.00,215,0,21.67,0,18.00,1.81,0.00,0.00
62,Nunavut,Nunavut,2020-04-04,14,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-04-04,14,2020,0,3627,2637,24.46,94,94,0.63,17.79,0.63,3253,94,21.94,0.63,376.71,2.54,13.43,0.09
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-04,14,2020,0,22,11,13.39,0,0,0,6.69,0.00,20,0,12.17,0,1.57,0.96,0.00,0.00
24,Quebec,Québec,2020-04-04,14,2020,0,6996,4499,81.31,75,53,0.87,52.29,0.62,6776,71,78.75,0.83,642.71,7.47,7.57,0.09
47,Saskatchewan,Saskatchewan,2020-04-04,14,2020,0,231,97,19.58,3,3,0.25,8.22,0.25,187,3,15.85,0.25,13.86,1.17,0.43,0.04
60,Yukon,Yukon,2020-04-04,14,2020,0,6,2,13.96,0,0,0,4.65,0.00,6,0,13.96,0,0.29,0.66,0.00,0.00
48,Alberta,Alberta,2020-04-11,15,2020,0,1568,494,35.29,40,22,0.9,11.12,0.50,1027,38,23.12,0.86,70.57,1.59,3.14,0.07
59,British Columbia,Colombie-Britannique,2020-04-11,15,2020,0,1444,242,27.69,58,20,1.11,4.64,0.38,561,42,10.76,0.81,34.57,0.66,2.86,0.05
1,Canada,Canada,2020-04-11,15,2020,0,18961,8316,80.62,541,372,2.3,35.36,1.58,15457,519,65.72,2.21,1188.00,5.05,53.14,0.23
46,Manitoba,Manitoba,2020-04-11,15,2020,0,242,48,17.49,4,2,0.29,3.47,0.14,178,3,12.86,0.22,6.86,0.50,0.29,0.02
13,New Brunswick,Nouveau-Brunswick,2020-04-11,15,2020,0,112,14,14.19,0,0,0,1.77,0.00,61,0,7.73,0,2.00,0.25,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-11,15,2020,0,241,46,46.30,3,2,0.58,8.84,0.38,121,3,23.24,0.58,6.57,1.26,0.29,0.05
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-11,15,2020,0,5,1,10.99,0,0,0,2.20,0.00,4,0,8.79,0,0.14,0.31,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-04-11,15,2020,0,428,192,43.14,2,2,0.2,19.35,0.20,318,2,32.05,0.2,27.43,2.76,0.29,0.03
62,Nunavut,Nunavut,2020-04-11,15,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-04-11,15,2020,0,6645,3018,44.82,252,158,1.7,20.36,1.07,5655,252,38.14,1.7,431.14,2.91,22.57,0.15
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-11,15,2020,0,25,3,15.21,0,0,0,1.83,0.00,14,0,8.52,0,0.43,0.26,0.00,0.00
24,Quebec,Québec,2020-04-11,15,2020,0,12291,5295,142.84,289,214,3.36,61.54,2.49,9794,267,113.82,3.1,756.43,8.79,30.57,0.36
47,Saskatchewan,Saskatchewan,2020-04-11,15,2020,0,289,58,24.49,4,1,0.34,4.92,0.08,155,4,13.14,0.34,8.29,0.70,0.14,0.01
60,Yukon,Yukon,2020-04-11,15,2020,0,8,2,18.61,0,0,0,4.65,0.00,4,0,9.31,0,0.29,0.66,0.00,0.00
48,Alberta,Alberta,2020-04-18,16,2020,0,2561,993,57.64,51,11,1.15,22.35,0.25,1487,33,33.47,0.74,141.86,3.19,1.57,0.04
