pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numcases_total,numcases_weekly,ratecases_total,numdeaths_total,numdeaths_weekly,ratedeaths_total,ratecases_last7,ratedeaths_last7,numcases_last14,numdeaths_last14,ratecases_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
61,Northwest Territories,Territoires du Nord-Ouest,2022-03-26,12,2022,0,10333,490,22707.89,21,1,46.15,1076.83,2.20,819,1,1799.84,2.2,70.00,153.83,0.14,0.31
62,Nunavut,Nunavut,2022-03-26,12,2022,0,3400,69,8628.78,5,0,12.69,175.11,0.00,135,0,342.61,0,9.86,25.02,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2022-03-26,12,2022,,13,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2022-03-26,12,2022,,3443936,43133,9004.67,37458,233,97.94,112.78,0.61,82261,558,215.08,1.46,6161.86,16.11,33.29,0.09
59,British Columbia,Colombie-Britannique,2022-04-02,13,2022,0,357242,1943,6850.53,3004,21,57.61,37.26,0.40,3464,38,66.43,0.73,277.57,5.32,3.00,0.06
48,Alberta,Alberta,2022-04-02,13,2022,0,540733,4567,12170.78,4074,30,91.7,102.79,0.68,5883,41,132.41,0.92,652.43,14.68,4.29,0.10
47,Saskatchewan,Saskatchewan,2022-04-02,13,2022,0,133256,1032,11294.37,1253,24,106.2,87.47,2.03,2228,44,188.84,3.73,147.43,12.50,3.43,0.29
46,Manitoba,Manitoba,2022-04-02,13,2022,0,136573,1359,9869.67,1751,7,126.54,98.21,0.51,2645,25,191.15,1.81,194.14,14.03,1.00,0.07
35,Ontario,Ontario,2022-04-02,13,2022,0,1169361,18271,7887.09,12460,63,84.04,123.23,0.42,32840,131,221.5,0.88,2610.14,17.60,9.00,0.06
24,Quebec,Québec,2022-04-02,13,2022,0,970951,17453,11284.23,14382,82,167.15,202.84,0.95,28669,137,333.19,1.59,2493.29,28.98,11.71,0.14
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2022-04-02,13,2022,0,39312,2688,7551.97,116,15,22.28,516.37,2.88,5478,31,1052.34,5.96,384.00,73.77,2.14,0.41
13,New Brunswick,Nouveau-Brunswick,2022-04-02,13,2022,0,51854,3657,6570.24,358,9,45.36,463.37,1.14,6753,22,855.65,2.79,522.43,66.20,1.29,0.16
12,Nova Scotia,Nouvelle-Écosse,2022-04-02,13,2022,0,59832,5020,6031.12,255,10,25.7,506.02,1.01,8473,23,854.09,2.32,717.14,72.29,1.43,0.14
11,Prince Edward Island,Île-du-Prince-Édouard,2022-04-02,13,2022,0,25799,2454,15700.65,18,2,10.95,1493.45,1.22,4492,2,2733.72,1.22,350.57,213.35,0.29,0.17
60,Yukon,Yukon,2022-04-02,13,2022,0,3844,123,8942.45,24,0,55.83,286.14,0.00,216,1,502.49,2.33,17.57,40.88,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2022-04-02,13,2022,0,10951,618,24066.02,21,0,46.15,1358.12,0.00,1108,1,2434.95,2.2,88.29,194.02,0.00,0.00
62,Nunavut,Nunavut,2022-04-02,13,2022,0,3472,72,8811.51,6,1,15.23,182.73,2.54,141,1,357.84,2.54,10.29,26.10,0.14,0.36
99,Repatriated travellers,Voyageurs rapatriés,2022-04-02,13,2022,,13,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2022-04-02,13,2022,,3503193,59257,9159.61,37722,264,98.63,154.94,0.69,102390,497,267.71,1.3,8465.29,22.13,37.71,0.10
59,British Columbia,Colombie-Britannique,2022-04-09,14,2022,0,359002,1760,6884.28,3036,32,58.22,33.75,0.61,3703,53,71.01,1.02,251.43,4.82,4.57,0.09
48,Alberta,Alberta,2022-04-09,14,2022,0,546247,5514,12294.89,4104,30,92.37,124.11,0.68,10081,60,226.9,1.35,787.71,17.73,4.29,0.10
47,Saskatchewan,Saskatchewan,2022-04-09,14,2022,0,134307,1051,11383.45,1273,20,107.9,89.08,1.70,2083,44,176.55,3.73,150.14,12.73,2.86,0.24
46,Manitoba,Manitoba,2022-04-09,14,2022,0,138271,1698,9992.38,1759,8,127.12,122.71,0.58,3057,15,220.92,1.08,242.57,17.53,1.14,0.08
35,Ontario,Ontario,2022-04-09,14,2022,0,1192437,23076,8042.73,12548,88,84.63,155.64,0.59,41347,151,278.88,1.02,3296.57,22.23,12.57,0.08
24,Quebec,Québec,2022-04-09,14,2022,0,992649,21698,11536.40,14512,130,168.66,252.17,1.51,39151,212,455.01,2.46,3099.71,36.02,18.57,0.22
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2022-04-09,14,2022,0,41255,1943,7925.23,124,8,23.82,373.26,1.54,4631,23,889.63,4.42,277.57,53.32,1.14,0.22
13,New Brunswick,Nouveau-Brunswick,2022-04-09,14,2022,0,55812,3958,7071.75,368,10,46.63,501.50,1.27,7615,19,964.87,2.41,565.43,71.64,1.43,0.18
12,Nova Scotia,Nouvelle-Écosse,2022-04-09,14,2022,0,66823,6991,6735.82,263,8,26.51,704.70,0.81,12011,18,1210.72,1.81,998.71,100.67,1.14,0.12
11,Prince Edward Island,Île-du-Prince-Édouard,2022-04-09,14,2022,0,28375,2576,17268.35,19,1,11.56,1567.69,0.61,5030,3,3061.14,1.83,368.00,223.96,0.14,0.09
60,Yukon,Yukon,2022-04-09,14,2022,0,3940,96,9165.77,24,0,55.83,223.33,0.00,219,0,509.47,0,13.71,31.90,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2022-04-09,14,2022,0,11004,53,24182.49,21,0,46.15,116.47,0.00,671,0,1474.6,0,7.57,16.64,0.00,0.00
62,Nunavut,Nunavut,2022-04-09,14,2022,1,3531,59,8961.25,7,1,17.77,149.73,2.54,131,2,332.46,5.08,8.43,21.39,0.14,0.36
99,Repatriated travellers,Voyageurs rapatriés,2022-04-09,14,2022,,13,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2022-04-09,14,2022,,3573666,70473,9343.87,38058,336,99.51,184.26,0.88,129730,600,339.2,1.57,10067.57,26.32,48.00,0.13
59,British Columbia,Colombie-Britannique,2022-04-16,15,2022,0,361034,2032,6923.25,3077,41,59.01,38.97,0.79,3792,73,72.72,1.4,290.29,5.57,5.86,0.11
48,Alberta,Alberta,2022-04-16,15,2022,0,552403,6156,12433.45,4141,37,93.21,138.56,0.83,11670,67,262.67,1.51,879.43,19.79,5.29,0.12
47,Saskatchewan,Saskatchewan,2022-04-16,15,2022,0,135197,890,11458.89,1295,22,109.76,75.43,1.86,1941,42,164.51,3.56,127.14,10.78,3.14,0.27
46,Manitoba,Manitoba,2022-04-16,15,2022,0,139465,1194,10078.66,1774,15,128.2,86.29,1.08,2892,23,209,1.66,170.57,12.33,2.14,0.15
35,Ontario,Ontario,2022-04-16,15,2022,0,1217574,25137,8212.27,12629,81,85.18,169.54,0.55,48213,169,325.19,1.14,3591.00,24.22,11.57,0.08
24,Quebec,Québec,2022-04-16,15,2022,0,1010196,17547,11740.33,14618,106,169.89,203.93,1.23,39245,236,456.1,2.74,2506.71,29.13,15.14,0.18
